FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1872,Milk Street,5441000,5,2,0,2011,SLM,92.5438176421,303.62084168755
1873,Atlantic Avenue,45276500,3,2,0,2011,BFBL,70.9215414288,232.681757175878
1874,Atlantic Avenue,45231600,3,2,0,2011,BL,122.755441637,402.740144791001
1875,Commercial Street,5149600,5,2,0,2017,SBL,22.8910909378,75.1018541987507
1876,Neponset Avenue,4887000,5,2,0,2012,BL,78.3845669627,257.166700112931
1877,Maverick Street,5157100,5,2,0,2015,BL,43.3315195316,142.163493654785
1878,Maverick Street,4426400,5,2,0,2015,BL,65.3045641159,214.253390757134
1879,Maverick Street,4426800,5,2,0,2015,BL,64.0580541118,210.163799182749
1880,Maverick Street,5621701,5,1,0,2015,BL,12.5294232021,41.1069492619645
1881,Maverick Street,5640000,5,2,0,2015,BL,71.6471911982,235.062493124538
1882,Saratoga Street,4393900,5,2,0,2012,BLSL,134.029196503,439.72745552346
1883,American Legion Highway,6278900,5,2,1,2020,SBL,905.258150609,2970.00111576793
1884,Faneuil Street,4483900,6,2,0,2017,SLM,44.2797487719,145.274475717191
1885,Maverick Street,4427900,5,2,0,2015,BL,65.233825776,214.021310063872
1886,Meridian Street,5228800,5,2,0,2013,BLSL,94.6088977154,310.396025251629
1887,Meridian Street,5707500,5,2,0,2013,BLSL,104.923749774,344.237335704374
1888,Meridian Street,5707401,5,2,0,2013,BLSL,25.6963633251,84.3054853699404
1889,Chelsea Street,4427100,5,2,0,2010,BL,76.9143118961,252.34303826775
1890,Meridian Street,4397200,3,2,0,2013,BLSL,65.751934734,215.721139194174
1891,Meridian Street,4402700,3,2,0,2013,BLSL,40.3146200815,132.265549402842
1892,Meridian Street,4407400,3,2,0,2013,BLSL,125.283292414,411.033601848354
1893,Bennington Street,5823500,5,2,1,2008,SLM,27.3473234977,89.7220105309562
1894,Veterans Of Foreign Wars Parkway,5214700,2,3,1,2013,BL,21.7175141349,71.2515442793271
1895,Veterans Of Foreign Wars Parkway,6271700,2,3,1,2013,BL,222.864281413,731.180563266162
1896,Baker Street,5129100,6,2,0,2014,BL,158.250667972,519.194066495445
1897,Commonwealth Avenue,6227800,3,2,1,2013,BL,71.1842750651,233.543742468846
1898,Washington Street,5357600,3,2,0,2010,BL,23.6617896931,77.6303884002363
1899,Lake Street,4511800,6,2,0,2011,BL,165.402873317,542.659260182152
1900,Faneuil Street,4482800,6,2,0,2017,SLM,73.012170748,239.540763527742
1901,Veterans Of Foreign Wars Parkway,6218200,2,3,1,2013,SLM,83.4812992601,273.888229328189
1902,Veterans Of Foreign Wars Parkway,4830700,2,3,1,2013,BL,76.7989913062,251.964690665309
1903,Commonwealth Avenue,4550500,3,2,1,2013,SLM,50.8245132511,166.746757181913
1904,Lake Street,4523700,6,2,0,2011,BL,103.989063499,341.170785831612
1905,Washington Street,5819300,3,2,0,2010,BL,71.4012596854,234.255632809149
1906,Washington Street,5819400,3,2,0,2010,BL,186.457314411,611.73537238694
1907,Summer Street,5842800,3,2,0,2019,SBL,0,522.931162164336
1908,Neponset Avenue,6316000,3,3,1, ,SUP,0,910.126547993425
1909, ,5897700,0, ,0,2019,BL,0,387.542944542085
1910, ,5898500,0, ,0,2019,BL,0,372.422502367445
1911,Faneuil Street,4467100,6,2,0,2017,SLM,83.4138037975,273.666787968245
1912,Antwerp St,5936600,0, ,0,2014,BL,167.390822664,549.181474549213
1913,Commonwealth Avenue Frontage Road Eb,5108400,0,2,1,2013,SLM,163.674602786,536.989092650241
1914,Chestnut Hill Avenue,5125800,5,2,0,2013,BL,17.5966106247,57.7315466684941
1915,Chestnut Hill Avenue,5761500,5,2,0,2013,BLSL,75.6049656349,248.047291447095
1916,Chestnut Hill Avenue,4525100,5,2,0,2013,BL,61.7572471132,202.615234913337
1917,Chestnut Hill Avenue,5761600,5,2,0,2013,BL,59.9893606006,196.81509386774
1918,Faneuil Street,5291000,6,2,0,2017,SLM,226.040842434,741.602330526295
1919,Market Street,4472200,5,2,0,2013,BL,36.9750874325,121.309099344956
1920,Market Street,5273800,5,2,0,2013,BL,51.6157610931,169.342709523034
1921,Market Street,4466400,5,2,0,2013,BLSL,28.2234384419,92.5963976210782
1922,Centre Street,4877800,5,2,0,2010,BL,51.766568613,169.8374838548
1923,Commonwealth Avenue Frontage Road Wb,5789000,0,2,1,2013,BL,17.4387448742,57.2136154482721
1924,Commonwealth Avenue Frontage Road Wb,5310000,0,2,1,2013,BL,248.329412639,814.727414616609
1925,Market Street,5442700,5,2,0,2013,SLM,85.6861345944,281.121926563263
1926,Cambridge Street,5193300,3,2,0,2010,BL,90.4111015632,296.623755687856
1927,Centre Street,4838200,5,2,0,2019,BFBL,72.8375335477,238.967807971466
1928,Cambridge Street,5193500,3,2,0,2010,BL,57.1673581515,187.556574181547
1929,Cummins Highway,5154700,3,2,0,2012,BL,46.6059355851,152.906307048569
1930,Washington Street,5705400,3,2,0,2009,BL,73.575667173,241.389501383552
1931,Centre Street,5822200,5,2,1,2010,BL,279.487992497,916.953522071112
1932,Centre Street,6238400,2,3,1,2011,BL,147.728744863,484.673390434417
1933,Cambridge Street,4470700,3,2,0,2015,BLSL,27.5488324167,90.383127701329
1934,Cambridge Street,4464400,3,2,0,2015,SLM,48.602202954,159.455727507251
1935,Harvard Avenue,5842200,3,2,0,2010,BLSL,17.0882301244,56.0636350071395
1936,Franklin Street,4450800,0,2,0,2010,SLM,43.1441430495,141.548742664179
1937,Franklin Street,4456700,0,2,0,2010,SLM,82.0378197681,269.15241368
1938,Cambridge Street,5104400,3,2,0,2015,BL,76.5009820179,250.986971840642
1939,Western Avenue,5638800,5,2,0,2015,BLSL,77.8753304363,255.495979963581
1940,Cummins Highway,5311400,3,2,0,2012,BL,75.4964221656,247.691178417141
1941,Centre Street,5115900,2,3,1,2011,BL,260.604352102,854.999445168533
