,Name,Address,Latitude,Longitude
111,omega foods,145 Dartmouth St,42.347926,-71.075601
112,nuevo mundo food market,192 Maverick St,42.369257,-71.036541
113,navarrette grocery,451 Columbia Rd,42.312937,-71.067981
114,ms elizabeth market,2825 Washington St,42.321306,-71.092737
115,monumental market,36 South St,42.308417,-71.115361
116,moabonguito grocery store,219 Dudley St,42.328387,-71.080681
117,ming's supermarket,1102 Washington St,42.344269,-71.065308
118,millennium market,496 Blue Hill Ave,42.307155,-71.08373
119,milanos delicatessen,978 Saratoga St,42.387026,-71.007352
120,midtown markets,175 William F McClellan Hwy,42.386209,-71.018555
121,merkato llc,1127 Harrison Ave,42.330464,-71.082032
122,meridian food market,121 Meridian St,42.37326,-71.03884
123,meat & fish market,88 Blackstone St,42.361437,-71.056311
124,meal hackers inc,398 Columbus Ave,42.344547,-71.076381
125,mayfair foods inc,506 Cambridge St,42.35311,-71.137919
126,marlboro market,45 Massachusetts Ave,42.34988,-71.0893
127,market anthony's,66 Walnut Park,42.31787,-71.099927
128,marino's market,1245 VFW Pkwy,42.277457,-71.172651
129,marias market,1760 Dorchester Ave,42.289897,-71.062971
130,marcella market,80 Marcella St,42.323686,-71.095798
131,mamas timarchee,556 River St,42.266459,-71.095908
132,luzelena market,305 Dudley St,42.327686,-71.07767
133,lord jeff's beef place,129 Newmarket Sq,42.330468,-71.066764
134,lluvia market,1985 Columbus Ave,42.315037,-71.097808
135,llanera supermarket,260 E 8th St,42.355492,-71.048611
136,liriano brothers market,156 Bunker Hill St,42.378283,-71.06089
137,linden's superette,101 Brighton Ave,42.353099,-71.130625
138,lee's supermarket,1581 Commonwealth Ave,42.34429,-71.143041
139,lee's 2 market,1383 Commonwealth Ave,42.348817,-71.13736
140,las villas market,78 Mozart St,42.320101,-71.103985
141,las americas market,970 Blue Hill Ave,42.290857,-71.088911
142,lambert's marketplace,140 Tremont St,42.355647,-71.062559
143,la peraviana,3099 Washington St,42.315327,-71.099011
144,la familia market,64A Blue Hill Ave,42.322876,-71.076399
145,la chapi market,113 Blue Hill Ave,42.321097,-71.077761
146,la caja market,353 Meridian St,42.378617,-71.038991
147,la bendicion,32 Bennington St,42.375467,-71.037881
148,l a gran parada dudley market,561 Dudley St,42.32094,-71.072669
149,krisna janak inc,232 Sumner St,42.368753,-71.039006
150,kikka sushi noodle house,348 Harrison Ave,42.345169,-71.062833
151,karen market,41 Bennington St,42.375377,-71.037321
152,k 8 market,362 K St,42.331344,-71.037072
153,jp convience store,36 Gay Head St,42.325029,-71.105073
154,johnny's market,1758 River St,42.243922,-71.138059
155,joanna's market,710 Washington St,42.350667,-71.062771
156,jim's variety,256 W 5th St,42.355492,-71.048611
157,jia ho supermarket,692 Washington St,42.352077,-71.1721
158,jf family market inc,1435 Blue Hill Ave,42.275587,-71.093831
159,imported foods,474 Dorchester Ave,42.332475,-71.056267
160,ideal food basket,576 Washington St,42.349995,-71.165224
161,ideal food basket,217 Bowdoin St,42.305548,-71.067542
162,ideal food basket,926 Cummins Hwy,42.267952,-71.094469
163,ideal food basket,942 Hyde Park Ave,42.26759,-71.119887
164,ideal food basket,500 Geneva Ave,42.298797,-71.062961
