,Name,Address,Latitude,Longitude
93,great eastern seafood inc,44 Newmarket Sq,42.328597,-71.065771
94,gourmet boutique boston,10 Huntington Ave,42.348545,-71.077314
95,good seasons trading inc,911 Massachusetts Ave,42.33051,-71.07031
96,gong cha,40 Harrison Ave,42.351662,-71.06097
97,gong cha,154 Harvard Ave,42.351717,-71.13146
98,godiva chocolatier,800 Boylston St,42.347177,-71.082511
99,fruity tea inc,77 Harvard Ave,42.25902,-71.12218
100,fruits of blessings,1290 Blue Hill Ave,42.279598,-71.092686
101,froyoworld,157 Harvard Ave,42.351571,-71.131891
102,fresh ideas inc,18 Bunker Hill Industrial Park,42.377983,-71.074188
103,frank anthonys gourmet market,9 Fan Pier Blvd,42.353539,-71.04613
104,family produce market,51 Cottage St,42.367002,-71.035674
105,essential body herbs,30 Warren St,42.329817,-71.083075
106,essential body herbs,555 Washington St,42.34975,-71.16407
107,essential body herbs,1282 Blue Hill Ave,42.28028,-71.09252
108,el paissa butchershop,1010 Bennington St,42.386967,-71.006601
109,east bay seafood,339 Northern Ave,42.345122,-71.032959
110,e shan tang,171 Harvard Ave,42.351277,-71.131771
111,dudley's seafood market,744 Dudley St,42.317987,-71.066621
112,dirty water east,22 Maverick St,42.371677,-71.042091
113,diallo's halal meat & grocery,11 Erie St,42.303203,-71.078952
114,delicious yogurt,4198 Washington St,42.286847,-71.127361
115,del's lemondade,800 Huntington Ave,42.333064,-71.107572
116,d fantasy,3142 Washington St,42.313967,-71.099871
117,curds & co,100 Hanover St,42.362177,-71.057491
118,crystal fruit,278 Centre St,42.322581,-71.101774
119,creative juices,722 Metropolitan Ave,42.26126,-71.1159
120,constitution seafood,8 Fid Kennedy Ave,42.355492,-71.048611
121,clinton market,702 American Legion Hwy,42.283189,-71.112262
122,city produce,231 Harrison Ave,42.347487,-71.063021
123,ching long inc,26 Lincoln St,42.2586,-71.12016
124,chinatown hit,27 Harrison Ave,42.351815,-71.061444
125,chill box frozen yogurt,570 South St,42.293077,-71.122691
126,chatime,333 Huntington Ave,42.340889,-71.088477
127,charlestown tea & treats inc,1 Monument Ave,42.373697,-71.062431
128,cape cod shellfish & seafood,29 Fish Pier St W,42.355492,-71.048611
129,c fruit life,171 Brighton Ave,42.353347,-71.132991
130,brighton gourmet & cellar,569 Washington St,42.34988,-71.16428
131,bred winner llc,2255 Dorchester Ave,42.27339,-71.06795
132,bourbon coffee,103 Canal St,42.364763,-71.06013
133,boston seafood,8 Seafood Way,42.349001,-71.031175
134,boston lobster co,345 W 1st St,42.355492,-71.048611
135,boston juicing,283 Main St,42.377594,-71.066781
136,boston juicery,53 State St,42.358777,-71.056201
137,boston chinese medicine,8 Whittier Pl,42.36549,-71.06744
