,id,url
23,HvS2_mcp34JkMlw1Q37dhg,https://www.yelp.com/biz/sufra-mediterranean-food-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
24,jIxhHWqxKd5ZWBIEmsFxWQ,https://www.yelp.com/biz/citrus-and-salt-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
25,BbnYarlqCZkR5PP-Gqy8oA,https://www.yelp.com/biz/ichiban-yakitori-sushi-house-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
26,_rFGIsI4O_15Cr5P6zni1w,https://www.yelp.com/biz/anoushella-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
27,JZUTavw4SsZ-iiExULq1_g,https://www.yelp.com/biz/lobstah-on-a-roll-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
28,_wKT119W5J309_AN47pimg,https://www.yelp.com/biz/cafe-landwer-boston-3?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
29,rpIRK9g0uM7Mao5jB39m3w,https://www.yelp.com/biz/boston-shawarma-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
30,_QUh5vFHSuw8R_uiFZ7XKQ,https://www.yelp.com/biz/parish-cafe-and-bar-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
31,EpNo7oP_ZGI4vfLMqmtfOg,https://www.yelp.com/biz/haju-kitchen-boston-3?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
32,Alq-zjJOfiS_0sTxYqm9xg,https://www.yelp.com/biz/dirty-water-dough-boston-6?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
33,Hc9l2eLAGTB4lZJI3vRoPw,https://www.yelp.com/biz/tasty-burger-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
34,MtV27KoQe9Bfc5HPKSc7PA,https://www.yelp.com/biz/ghost-king-thai-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
35,Dvwj6KWrDZHVQwlSjYS4Iw,https://www.yelp.com/biz/boston-burger-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
36,9gtpqrz-5bLzf6SlhYI3vA,https://www.yelp.com/biz/nagomi-izakaya-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
37,t_FFcwUutj9mIYKGw_gHsQ,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
38,6-N8TPwV8Ug5cFZhGpAJ8w,https://www.yelp.com/biz/cava-boston-10?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
39,xFEyKgGkgOycAsJvVsUzVw,https://www.yelp.com/biz/douzo-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
40,v95lM5eqV1feLxQakFN5bA,https://www.yelp.com/biz/wagamama-prudential-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
41,ntlz7vFfs7kYMpSZcDE5Ew,https://www.yelp.com/biz/la-neta-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
42,g2BZOLMwHViRf9hsQfKm_w,https://www.yelp.com/biz/el-pel%C3%B3n-taquer%C3%ADa-boston-3?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
43,mtLoSQcEnZwDQZ_1mdYLyA,https://www.yelp.com/biz/el-jefe-s-taqueria-symphony-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
44,pEc4AsxF0nuxcg4Ac-kD2Q,https://www.yelp.com/biz/padthai-cafe-boston-3?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
45,XK3V6XjaQDuFJKi0WLsNZw,https://www.yelp.com/biz/the-kenmore-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
46,72PQGMhrEcIuWH-S44TprA,https://www.yelp.com/biz/myers-and-chang-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
47,AGR_kBvN__I7aTl0rBywAg,https://www.yelp.com/biz/atlantic-fish-boston-8?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
48,K1wwqd6ZSTOKxkmZ-6VV6g,https://www.yelp.com/biz/dig-boston-3?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
49,kOqVXdqRzWIEK7XiQWxmJQ,https://www.yelp.com/biz/corner-tavern-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
50,b55AZsYT59eExUZB7-uFfg,https://www.yelp.com/biz/bb-q-chicken-kenmore-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
51,jTpZ75QFludbirSJv6Qvfw,https://www.yelp.com/biz/matcha-caf%C3%A9-maiko-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
52,xlOMKjE4omTgkI1eduWj8A,https://www.yelp.com/biz/the-friendly-toast-back-bay?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
53,u51e3gychuqBYNqe2xG6_w,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
54,LNS4vQq-j5VCiPbM19gl9g,https://www.yelp.com/biz/lucie-drink-dine-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
55,Xbo2UqJs8ZEP-da9U46LZg,https://www.yelp.com/biz/shah-s-halal-boston-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
56,lKBwvUYaNDkDUyPrNAHPjQ,https://www.yelp.com/biz/gyroscope-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
57,Jmyya_ylt3Bks4NTcyWgEg,https://www.yelp.com/biz/zuma-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
58,VtBdzCiU00KARva2rqJcbg,https://www.yelp.com/biz/grand-tour-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
59,AmMLaOfDcHjUNOCIIF74tw,https://www.yelp.com/biz/caf%C3%A9-sauvage-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
60,u5l-xHRlgFkhCm37sUJ5eQ,https://www.yelp.com/biz/phinista-boston?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
61,eJzWmVgMY5x1n281Qw6YDQ,https://www.yelp.com/biz/kava-neo-taverna-boston-2?adjust_creative=f3B48e3kgR7AlqAqwZz-eQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=f3B48e3kgR7AlqAqwZz-eQ
